trainer,index,type,subject,input,calc
"Pilot Ewing",0,moves,"Claydol","[]","['earth power', 'psychic', 'spikes', 'weather ball']"
"Pilot Ewing",1,ability,"Lunatone","","relaxed"
"Pilot Ewing",1,moves,"Lunatone","[]","['ancient power', 'fairy wind', 'mystical fire', 'stored power']"
"Pilot Ewing",2,ability,"Dodrio","","sand veil"
"Pilot Ewing",2,moves,"Dodrio","[]","['drill peck', 'drill run', 'head smash', 'thrash']"
"Pilot Ewing",3,ability,"Flygon","","hasty"
"Pilot Ewing",3,moves,"Flygon","[]","['boomburst', 'bug buzz', 'clanging scales', 'earthquake']"
"Pilot Ewing",4,ability,"Aerodactyl","","lax"
"Pilot Ewing",4,moves,"Aerodactyl","[]","['aqua tail', 'dual wingbeat', 'head smash', 'u-turn']"
"Pilot Flynn",0,ability,"Magnezone","","levitate"
"Pilot Flynn",0,moves,"Magnezone","[]","['flash cannon', 'supersonic', 'thunder wave', 'thunderbolt']"
"Pilot Flynn",1,ability,"Gliscor","","poison heal"
"Pilot Flynn",1,moves,"Gliscor","[]","['earthquake', 'protect', 'rock slide', 'sky drop']"
"Pilot Flynn",2,ability,"Altaria","","levitate"
"Pilot Flynn",2,moves,"Altaria","[]","['dragon rush', 'earthquake', 'fairy wind', 'hurricane']"
"Pilot Flynn",3,ability,"Yanmega","","tenacity"
"Pilot Flynn",3,moves,"Yanmega","[]","['air slash', 'bug buzz', 'dragon pulse', 'psychic noise']"
"Pilot Flynn",4,ability,"Klinklang","","levitate"
"Pilot Flynn",4,moves,"Klinklang","[]","['brick break', 'giga impact', 'steamroller', 'zap cannon']"
"Pilot Winslow",0,ability,"Vanilluxe","","snow warning"
"Pilot Winslow",0,moves,"Vanilluxe","[]","['blizzard', 'gunk shot', 'mirror coat', 'swagger']"
"Pilot Winslow",1,ability,"Golduck","","bold"
"Pilot Winslow",1,moves,"Golduck","[]","['psychic', 'superpower', 'wave crash', 'weather crash']"
"Pilot Winslow",2,ability,"Rotom","","levitate"
"Pilot Winslow",2,moves,"Rotom","[]","['blizzard', 'discharge', 'volt switch', 'will-o-wisp']"
"Pilot Winslow",3,ability,"Empoleon","","snow cloak"
"Pilot Winslow",3,moves,"Empoleon","[]","['drill peck', 'steel wing', 'swords dance', 'waterfall']"
"Pilot Winslow",4,ability,"Castform","","forecast"
"Pilot Winslow",4,moves,"Castform","[]","['heat wave', 'surf', 'thunderbolt', 'weather ball']"
"PkMn Ranger Anja",0,ability,"Sudowoodo","","prankster"
"PkMn Ranger Anja",0,moves,"Sudowoodo","[]","['hammer arm', 'ingrain', 'rock climb', 'thunder wave']"
"PkMn Ranger Anja",1,ability,"Dodrio","","tough claws"
"PkMn Ranger Anja",1,moves,"Dodrio","[]","['aerial ace', 'rock slide', 'stompin tantrum', 'submission']"
"PkMn Ranger Anja",2,ability,"Armaldo","","battle armor"
"PkMn Ranger Anja",2,moves,"Armaldo","[]","['dragon dance', 'razor shell', 'rock slide', 'x-scissor']"
"PkMn Ranger Briana",0,ability,"Sceptile","","unburden"
"PkMn Ranger Briana",0,moves,"Sceptile","[]","['acrobatics', 'dragon claw', 'leaf blade', 'thunder punch']"
"PkMn Ranger Briana",1,ability,"Serperior","","adaptability"
"PkMn Ranger Briana",1,moves,"Serperior","[]","['discharge', 'glare', 'leaf tornado', 'thunderbolt']"
"PkMn Ranger Briana",2,ability,"Nidoqueen","","sheer force"
"PkMn Ranger Briana",2,moves,"Nidoqueen","[]","['focus blast', 'ice beam', 'stompin tantrum', 'thunder']"
"PkMn Ranger Briana",3,ability,"Sawsbuck","","serene grace"
"PkMn Ranger Briana",3,moves,"Sawsbuck","[]","['body slam', 'iron head', 'rock slide', 'zen headbutt']"
"PkMn Ranger Forrest",0,ability,"Exeggutor","","chlorophyll"
"PkMn Ranger Forrest",0,moves,"Exeggutor","[]","['extrasensory', 'flame burst', 'follow me', 'wood hammer']"
"PkMn Ranger Forrest",1,ability,"Mothim","","pickpocket"
"PkMn Ranger Forrest",1,moves,"Mothim","[]","['dual wingbeat', 'fake out', 'lunge', 'sleep powder']"
"PkMn Ranger Forrest",2,ability,"Swampert","","sheer force"
"PkMn Ranger Forrest",2,moves,"Swampert","[]","['bulldoze', 'ice punch', 'muddy water', 'rock slide']"
"PkMn Ranger Jaden",0,ability,"Carracosta","","naive"
"PkMn Ranger Jaden",0,moves,"Carracosta","[]","['avalanche', 'flip turn', 'razor shell', 'rock slide']"
"PkMn Ranger Jaden",1,ability,"Mandibuzz","","overcoat"
"PkMn Ranger Jaden",1,moves,"Mandibuzz","[]","['dual wingbeat', 'knock off', 'steel wing', 'u-turn']"
"PkMn Ranger Jaden",2,ability,"Shelgon","","strong body"
"PkMn Ranger Jaden",2,moves,"Shelgon","[]","['body press', 'dragon tail', 'gyro ball', 'temper flare']"
"PkMn Ranger Jaden",3,ability,"Maractus","","sand rush"
"PkMn Ranger Jaden",3,moves,"Maractus","[]","['natural gift', 'needle arm', 'scald', 'scorching sands']"
"PkMn Ranger Lois",0,ability,"Unfezant","","unburden"
"PkMn Ranger Lois",0,moves,"Unfezant","[]","['acrobatics', 'body slam', 'brick break', 'swords dance']"
"PkMn Ranger Lois",1,ability,"Rapidash","","serene grace"
"PkMn Ranger Lois",1,moves,"Rapidash","[]","['blaze kick', 'horn leech', 'iron head', 'moonblast']"
"PkMn Ranger Lois",2,ability,"Venusaur","","thick fat"
"PkMn Ranger Lois",2,moves,"Venusaur","[]","['earthquake', 'gunk shot', 'power whip', 'sleep powder']"
"PkMn Ranger Louis",0,ability,"Galvantula","","sassy"
"PkMn Ranger Louis",0,moves,"Galvantula","[]","['energy ball', 'scorching swarm', 'sludge bomb', 'thunder']"
"PkMn Ranger Louis",1,ability,"Huntail","","illumination"
"PkMn Ranger Louis",1,moves,"Huntail","[]","['aqua tail', 'dragon rush', 'iron tail', 'wild charge']"
"PkMn Ranger Louis",2,ability,"Forretress","","quiet"
"PkMn Ranger Louis",2,moves,"Forretress","[]","['bug buzz', 'explosion', 'flash cannon', 'zap cannon']"
"PkMn Ranger Louis",3,ability,"Vespiquen","","rash"
"PkMn Ranger Louis",3,moves,"Vespiquen","[]","['attack order', 'defend order', 'roost', 'whirlwind']"
"PkMn Ranger Richard",0,ability,"Leavanny","","overcoat"
"PkMn Ranger Richard",0,moves,"Leavanny","[]","['fake out', 'knock off', 'liquidation', 'sticky web']"
"PkMn Ranger Richard",1,ability,"Sawsbuck-Winter","","naive"
"PkMn Ranger Richard",1,moves,"Sawsbuck-Winter","[]","['barrage', 'bone rush', 'bullet seed', 'icicle spear']"
"PkMn Ranger Richard",2,ability,"Victreebel","","calm"
"PkMn Ranger Richard",2,moves,"Victreebel","[]","['knock off', 'poison jab', 'power whip', 'weather crash']"
"PkMn Ranger Richard",3,ability,"Rotom","","galvanize"
"PkMn Ranger Richard",3,moves,"Rotom","[]","['leaf storm', 'protect', 'stored power', 'thunder']"
"PkMn Ranger Richard",4,ability,"Ludicolo","","swift swim"
"PkMn Ranger Richard",4,moves,"Ludicolo","[]","['energy ball', 'hyper voice', 'ice beam', 'scald']"
"PkMn Ranger Serenity",0,ability,"Huntail","","drizzle"
"PkMn Ranger Serenity",0,moves,"Huntail","[]","['devour', 'flip turn', 'thunder fang', 'waterfall']"
"PkMn Ranger Serenity",1,ability,"Tangrowth","","chlorophyll"
"PkMn Ranger Serenity",1,moves,"Tangrowth","[]","['ancient power', 'giga drain', 'sludge', 'water pulse']"
"PkMn Ranger Serenity",2,ability,"Stunfisk","","dry skin"
"PkMn Ranger Serenity",2,moves,"Stunfisk","[]","['discharge', 'muddy water', 'sludge wave', 'stompin tantrum']"
"PkMn Ranger Serenity",3,ability,"Poliwrath","","swift swim"
"PkMn Ranger Serenity",3,moves,"Poliwrath","[]","['barrage', 'brick break', 'ice punch', 'poison jab']"
"PkMn Trainer Rood",0,ability,"Swoobat","","keen senses"
"PkMn Trainer Rood",0,moves,"Swoobat","[]","['hurricane', 'hypnosis', 'iron tail', 'moonblast']"
"PkMn Trainer Rood",1,ability,"Tauros","","intimidate"
"PkMn Trainer Rood",1,moves,"Tauros","[]","['aqua tail', 'close combat', 'rage', 'thrash']"
"PkMn Trainer Rood",2,ability,"Darmanitan","","adamant"
"PkMn Trainer Rood",2,moves,"Darmanitan","[]","['flare blitz', 'hammer arm', 'protect', 'zen headbutt']"
"PkMn Trainer Rood",3,ability,"Zoroark","","exploit"
"PkMn Trainer Rood",3,moves,"Zoroark","[]","['dark pulse', 'flamethrower', 'knock off', 'sludge bomb']"
"PkMn Trainer Rood",4,ability,"Dusknoir","","shadow tag"
"PkMn Trainer Rood",4,moves,"Dusknoir","[]","['drain punch', 'fire punch', 'ice punch', 'shadow punch']"
"Pokefan Georgia",0,ability,"Clefable","","unaware"
"Pokefan Georgia",0,moves,"Clefable","[]","['healing wish', 'moonblast', 'psychic', 'shadow ball']"
"Pokefan Georgia",1,ability,"Reuniclus","","magic guard"
"Pokefan Georgia",1,moves,"Reuniclus","[]","['focus blast', 'psystrike', 'recover', 'reflect type']"
"Pokefan Georgia",2,ability,"Delcatty","","normalize"
"Pokefan Georgia",2,moves,"Delcatty","[]","['fake out', 'ice beam', 'sucker punch', 'u-turn']"
"Pokefan Georgia",3,ability,"Drifblim","","flare boost"
"Pokefan Georgia",3,moves,"Drifblim","[]","['dream eater', 'heat wave', 'hypnosis', 'ominous wind']"
"Pokefan Jude",0,ability,"Purugly","","skill link"
"Pokefan Jude",0,moves,"Purugly","[]","['attract', 'fury swipes', 'hypnosis', 'tail slap']"
"Pokefan Jude",1,ability,"Spinda","","contrary"
"Pokefan Jude",1,moves,"Spinda","[]","['close combat', 'ice hammer', 'spin out', 'stored power']"
"Pokefan Jude",2,ability,"Umbreon","","magic guard"
"Pokefan Jude",2,moves,"Umbreon","[]","['counter', 'nasty plot', 'night daze', 'psychic']"
"Pokefan Jude",3,ability,"Stantler","","illusion"
"Pokefan Jude",3,moves,"Stantler","[]","['psycho boost', 'retaliate', 'shadow force', 'work up']"
"Pokefan Norbert",0,ability,"Furret","","adaptability"
"Pokefan Norbert",0,moves,"Furret","[]","['brutal swing', 'charm', 'rest', 'secret power']"
"Pokefan Norbert",1,ability,"Granbull","","intimidate"
"Pokefan Norbert",1,moves,"Granbull","[]","['bite', 'dizzy punch', 'headbutt', 'vital throw']"
"Pokefan Norbert",2,ability,"Noctowl","","keen senses"
"Pokefan Norbert",2,moves,"Noctowl","[]","['air cutter', 'hex', 'hypnosis', 'icy wind']"
"Pokefan Norbert",3,ability,"Lanturn","","volt absorb"
"Pokefan Norbert",3,moves,"Lanturn","[]","['charge', 'shock wave', 'thunder wave', 'water pulse']"
"Pokefan Norbert",4,ability,"Dunsparce","","serene grace"
"Pokefan Norbert",4,moves,"Dunsparce","[]","['body slam', 'dizzy punch', 'roost', 'scorching sands']"
"Pokefan Sachiko",0,ability,"Delcatty","","normalize"
"Pokefan Sachiko",0,moves,"Delcatty","[]","['double slap', 'fake out', 'sucker punch', 'u-turn']"
"Pokefan Sachiko",1,ability,"Leafeon","","tenacity"
"Pokefan Sachiko",1,moves,"Leafeon","[]","['grass whistle', 'rock slide', 'swords dance', 'trop kick']"
"Pokefan Sachiko",2,ability,"Starmie","","illumination"
"Pokefan Sachiko",2,moves,"Starmie","[]","['aurora beam', 'bubble beam', 'hypnosis', 'psybeam']"
"Policeman Dell",0,ability,"Stoutland","","intimidate"
"Policeman Dell",0,moves,"Stoutland","[]","['fire fang', 'ice fang', 'take down', 'thunder fang']"
"Policeman Dell",1,ability,"Noctowl","","overcoat"
"Policeman Dell",1,moves,"Noctowl","[]","['air slash', 'grudge', 'hyper voice', 'roost']"
"Policeman Dell",2,ability,"Gallade","","friend guard"
"Policeman Dell",2,moves,"Gallade","[]","['drain punch', 'leaf blade', 'psycho cut', 'rock slide']"
"Policeman Neagle",0,ability,"Farfetch'd","","jolly"
"Policeman Neagle",0,moves,"Farfetch'd","[]","['hurricane', 'leaf tornado', 'sacred sword', 'weather ball']"
"Policeman Neagle",1,ability,"Muk","","water absorb"
"Policeman Neagle",1,moves,"Muk","[]","['block', 'dive', 'payback', 'poison jab']"
"Policeman Neagle",2,ability,"Hariyama","","thick fat"
"Policeman Neagle",2,moves,"Hariyama","[]","['body slam', 'bullet punch', 'focus punch', 'wave crash']"
"Policeman Neagle",3,ability,"Poliwrath","","swift swim"
"Policeman Neagle",3,moves,"Poliwrath","[]","['hydro pump', 'hypnosis', 'lunge', 'sky uppercut']"
"Preschooler Albert",0,ability,"Snorunt","","snow warning"
"Preschooler Albert",0,moves,"Snorunt","[]","['headbutt', 'icy wind', 'mirror coat', 'super fang']"
"Preschooler Albert",1,ability,"Snover","","filter"
"Preschooler Albert",1,moves,"Snover","[]","['ice shard', 'icy wind', 'pin missile', 'razor leaf']"
"Preschooler Albert",2,ability,"Buneary","","fluffy"
"Preschooler Albert",2,moves,"Buneary","[]","['fake out', 'headbutt', 'ice beam', 'low sweep']"
"Preschooler Albert",3,ability,"Prinplup","","slush rush"
"Preschooler Albert",3,moves,"Prinplup","[]","['brine', 'icicle spear', 'metal claw', 'pluck']"
"Preschooler Chrissy",0,ability,"Charmander","","mild"
"Preschooler Chrissy",0,moves,"Charmander","[]","['dragon claw', 'overheat', 'return', 'will-o-wisp']"
"Preschooler Chrissy",1,ability,"Treecko","","overgrow"
"Preschooler Chrissy",1,moves,"Treecko","[]","['drain punch', 'energy ball', 'iron tail', 'knock off']"
"Preschooler Chrissy",2,ability,"Piplup","","torrent"
"Preschooler Chrissy",2,moves,"Piplup","[]","['dual wingbeat', 'ice beam', 'scald', 'steel wing']"
"Preschooler Greg",0,ability,"Totodile","","torrent"
"Preschooler Greg",0,moves,"Totodile","[]","['crunch', 'ice fang', 'muddy water', 'return']"
"Preschooler Greg",1,ability,"Chimchar","","blaze"
"Preschooler Greg",1,moves,"Chimchar","[]","['endure', 'fake out', 'flamethrower', 'hyper voice']"
"Preschooler Greg",2,ability,"Bulbasaur","","overgrow"
"Preschooler Greg",2,moves,"Bulbasaur","[]","['earth power', 'energy ball', 'sleep powder', 'sludge bomb']"
"Preschooler Lin",0,ability,"Slugma","","drought"
"Preschooler Lin",0,moves,"Slugma","[]","['flame burst', 'mud shot', 'sparkle', 'will-o-wisp']"
"Preschooler Lin",1,ability,"Sunkern","","solar power"
"Preschooler Lin",1,moves,"Sunkern","[]","['flame wheel', 'leech seed', 'mega drain', 'secret power']"
"Preschooler Lin",2,ability,"Roggenrola","","bold"
"Preschooler Lin",2,moves,"Roggenrola","[]","['disarming voice', 'electroweb', 'incinerate', 'sparkle']"
"Preschooler Lin",3,ability,"Quilava","","blaze"
"Preschooler Lin",3,moves,"Quilava","[]","['bulldoze', 'incinerate', 'reversal', 'swift']"
"Psychic Dua",0,ability,"Girafarig","","sap sipper"
"Psychic Dua",0,moves,"Girafarig","[]","['crunch', 'dazzling gleam', 'double kick', 'hypnosis']"
"Psychic Dua",1,ability,"Hypno","","bad dreams"
"Psychic Dua",1,moves,"Hypno","[]","['dream eater', 'hypnosis', 'smog', 'sweet scent']"
"Psychic Dua",2,ability,"Relicanth","","battle armor"
"Psychic Dua",2,moves,"Relicanth","[]","['rock slide', 'shadow claw', 'soak', 'waterfall']"
"Psychic Dua",3,ability,"Cofagrigus","","brave"
"Psychic Dua",3,moves,"Cofagrigus","[]","['hex', 'mirror shot', 'mystical fire', 'scorching sands']"
"Psychic Ena",0,ability,"Claydol","","heavy metal"
"Psychic Ena",0,moves,"Claydol","[]","['body press', 'earthquake', 'grudge', 'ice beam']"
"Psychic Ena",1,ability,"Marowak","","sturdy"
"Psychic Ena",1,moves,"Marowak","[]","['brick break', 'earthquake', 'lunge', 'rock slide']"
"Psychic Future",0,ability,"Grumpig","","magic guard"
"Psychic Future",0,moves,"Grumpig","[]","['dizzy punch', 'feint attack', 'foul play', 'psycho cut']"
"Psychic Future",1,ability,"Marowak","","battle armor"
"Psychic Future",1,moves,"Marowak","[]","['bulldoze', 'rock tomb', 'shadow claw', 'shadow sneak']"
"Psychic Future",2,ability,"Lucario","","exploit"
"Psychic Future",2,moves,"Lucario","[]","['dark pulse', 'extreme speed', 'force palm', 'metal claw']"
"Psychic Future",3,ability,"Lunatone","","solid rock"
"Psychic Future",3,moves,"Lunatone","[]","['ancient power', 'calm mind', 'mystical fire', 'recover']"
"Psychic Joyce",0,ability,"Gothitelle","","rash"
"Psychic Joyce",0,moves,"Gothitelle","[]","['aura sphere', 'fake out', 'follow me', 'psystrike']"
"Psychic Joyce",1,ability,"Banette","","shadow tag"
"Psychic Joyce",1,moves,"Banette","[]","['destiny bond', 'retaliate', 'shadow force', 'sucker punch']"
"Psychic Low",0,ability,"Xatu","","patient"
"Psychic Low",0,moves,"Xatu","[]","['air cutter', 'esper wing', 'mystical fire', 'ominous wind']"
"Psychic Low",1,ability,"Medicham","","huge power"
"Psychic Low",1,moves,"Medicham","[]","['aura sphere', 'light screen', 'psycho cut', 'shadow ball']"
"Psychic Low",2,ability,"Mawile","","sheer force"
"Psychic Low",2,moves,"Mawile","[]","['metal claw', 'play rough', 'rock slide', 'thunder fang']"
"Psychic Low",3,ability,"Slowking","","shell armor"
"Psychic Low",3,moves,"Slowking","[]","['curse', 'dragon tail', 'slack off', 'zen headbutt']"
"Psychic Micki",0,ability,"Ninetales","","serene grace"
"Psychic Micki",0,moves,"Ninetales","[]","['dazzling gleam', 'extrasensory', 'ominous wind', 'searing shot']"
"Psychic Micki",1,ability,"Bronzong","","levitate"
"Psychic Micki",1,moves,"Bronzong","[]","['boomburst', 'helping hand', 'psycho boost', 'spin out']"
"Psychic Perry",0,ability,"Musharna","","draining kiss dream eater shadow ball light screen"
"Psychic Perry",1,ability,"Stantler","","illusion"
"Psychic Perry",1,moves,"Stantler","[]","['dream eater', 'grudge', 'reflect', 'retaliate']"
"Psychic Perry",2,ability,"Claydol","","levitate"
"Psychic Perry",2,moves,"Claydol","[]","['extrasensory', 'mystical fire', 'scorching sands', 'spin out']"
"Psychic Tommy",0,ability,"Sigilyph","","tenacity"
"Psychic Tommy",0,moves,"Sigilyph","[]","['air slash', 'esper wing', 'scorching sands', 'weather ball']"
"Psychic Tommy",1,ability,"Golurk","","weak armor"
"Psychic Tommy",1,moves,"Golurk","[]","['bulldoze', 'dizzy punch', 'rock slide', 'shadow punch']"
"Psychic Tommy",2,ability,"Chimecho","","levitate"
"Psychic Tommy",2,moves,"Chimecho","[]","['flash cannon', 'moonblast', 'recover', 'weather ball']"
"Psychic Tully",0,ability,"Xatu","","magic bounce"
"Psychic Tully",0,moves,"Xatu","[]","['air slash', 'ancient power', 'light screen', 'psychic noise']"
"Psychic Tully",1,ability,"Beheeyem","","levitate"
"Psychic Tully",1,moves,"Beheeyem","[]","['discharge', 'energy ball', 'ice beam', 'shadow ball']"
"Rich Boy Keenan",0,ability,"Arcanine","","intimidate"
"Rich Boy Keenan",0,moves,"Arcanine","[]","['crunch', 'flame burst', 'take down', 'thunder fang']"
"Rich Boy Keenan",1,ability,"Whiscash","","adaptability"
"Rich Boy Keenan",1,moves,"Whiscash","[]","['flip turn', 'stompin tantrum', 'thunderbolt', 'waterfall']"
"Rich Boy Keenan",2,ability,"Luxray","","guts"
"Rich Boy Keenan",2,moves,"Luxray","[]","['feint attack', 'fire fang', 'ice fang', 'thunder fang']"
"Rich Boy Rolan",0,ability,"Plusle","","volt absorb"
"Rich Boy Rolan",0,moves,"Plusle","[]","['fire pledge', 'grass pledge', 'thunderbolt', 'water pledge']"
"Rich Boy Rolan",1,ability,"Volbeat","","illumination"
"Rich Boy Rolan",1,moves,"Volbeat","[]","['bug buzz', 'moonlight', 'tail glow', 'thunder']"
"Rich Boy Rolan",2,ability,"Staraptor","","intimidate"
"Rich Boy Rolan",2,moves,"Staraptor","[]","['aerial ace', 'crush claw', 'quick attack', 'rock smash']"
"Rich Boy Rolan",3,ability,"Porygon-Z","","adaptability"
"Rich Boy Rolan",3,moves,"Porygon-Z","[]","['aurora beam', 'charge beam', 'psybeam', 'signal beam']"
"Roughneck Nicky",0,ability,"Eelektrik","","levitate"
"Roughneck Nicky",0,moves,"Eelektrik","[]","['leech life', 'parabolic zap', 'toxic spikes', 'water pulse']"
"Roughneck Nicky",1,ability,"Croconaw","","torrent"
"Roughneck Nicky",1,moves,"Croconaw","[]","['barrage', 'beat up', 'glare', 'scale shot']"
"Roughneck Nicky",2,ability,"Weepinbell","","rash"
"Roughneck Nicky",2,moves,"Weepinbell","[]","['poison fang', 'razor leaf', 'sleep powder', 'swords dance']"
"Roughneck Nicky",3,ability,"Primeape","","defiant"
"Roughneck Nicky",3,moves,"Primeape","[]","['beat up', 'pursuit', 'rage', 'vital throw']"
"Roughneck Nicky",4,ability,"Beedrill","","levitate"
"Roughneck Nicky",4,moves,"Beedrill","[]","['barb barrage', 'bug bite', 'reversal', 'toxic']"
"Roughneck Silvester",0,ability,"Scrafty","","intimidate"
"Roughneck Silvester",0,moves,"Scrafty","[]","['brick break', 'crunch', 'poison jab', 'stone edge']"
"Roughneck Silvester",1,ability,"Garbodor","","weak armor"
"Roughneck Silvester",1,moves,"Garbodor","[]","['knock off', 'metal claw', 'poison jab', 'shift gear']"
"Roughneck Silvester",2,ability,"Cloyster","","shell armor"
"Roughneck Silvester",2,moves,"Cloyster","[]","['clamp', 'explosion', 'ice beam', 'spin out']"
"School Kid Alvin",0,ability,"Dragonair","","majestic ward"
"School Kid Alvin",0,moves,"Dragonair","[]","['draco meteor', 'hurricane', 'icy wind', 'weather ball']"
"School Kid Alvin",1,ability,"Feraligatr","","naughty"
"School Kid Alvin",1,moves,"Feraligatr","[]","['crunch', 'ice punch', 'iron tail', 'liquidation']"
"School Kid Alvin",2,ability,"Gorebyss","","swift swim"
"School Kid Alvin",2,moves,"Gorebyss","[]","['dragon pulse', 'hypnosis', 'muddy water', 'sludge bomb']"
"School Kid Dwight",0,ability,"Floatzel","","technician"
"School Kid Dwight",0,moves,"Floatzel","[]","['chilling water', 'flip turn', 'natural gift', 'tail slap']"
"School Kid Dwight",1,ability,"Whiscash","","adaptability"
"School Kid Dwight",1,moves,"Whiscash","[]","['earthquake', 'muddy water', 'swagger', 'volt tackle']"
"School Kid Dwight",2,ability,"Pikachu","","galvanize"
"School Kid Dwight",2,moves,"Pikachu","[]","['extreme speed', 'present', 'surf', 'thunderbolt']"
"School Kid Dwight",3,ability,"Lanturn","","volt absorb"
"School Kid Dwight",3,moves,"Lanturn","[]","['blizzard', 'hydro pump', 'thunder', 'thunder wave']"
"School Kid Janice",0,ability,"Excadrill","","sturdy"
"School Kid Janice",0,moves,"Excadrill","[]","['drill run', 'iron head', 'rock slide', 'x-scissor']"
"School Kid Janice",1,ability,"Ferrothorn","","adamant"
"School Kid Janice",1,moves,"Ferrothorn","[]","['heavy slam', 'knock off', 'power whip', 'thunder']"
"School Kid Janice",2,ability,"Eelektross","","hardy"
"School Kid Janice",2,moves,"Eelektross","[]","['aqua tail', 'crunch', 'giga drain', 'thunderbolt']"
"School Kid Janice",3,ability,"Scizor","","light metal"
"School Kid Janice",3,moves,"Scizor","[]","['acrobatics', 'lunge', 'rock slide', 'substitute']"
"School Kid Mara",0,ability,"Gardevoir","","trace"
"School Kid Mara",0,moves,"Gardevoir","[]","['aura sphere', 'draining kiss', 'dream eater', 'water pulse']"
"School Kid Mara",1,ability,"Altaria","","levitate"
"School Kid Mara",1,moves,"Altaria","[]","['hurricane', 'moonblast', 'thunder', 'weather crash']"
"School Kid Mara",2,ability,"Azumarill","","huge power"
"School Kid Mara",2,moves,"Azumarill","[]","['aqua jet', 'dive', 'return', 'zen headbutt']"
"School Kid Neil",0,ability,"Simisage","","overgrow"
"School Kid Neil",0,moves,"Simisage","[]","['crunch', 'follow me', 'natural gift', 'vine whip']"
"School Kid Neil",1,ability,"Simipour","","torrent"
"School Kid Neil",1,moves,"Simipour","[]","['aurora beam', 'helping hand', 'natural gift', 'scald']"
"School Kid Neil",2,ability,"Simisear","","blaze"
"School Kid Neil",2,moves,"Simisear","[]","['fire punch', 'natural gift', 'scorching sands', 'sweet scent']"
"School Kid Neil",3,ability,"Eevee","","adaptability"
"School Kid Neil",3,moves,"Eevee","[]","['body slam', 'double kick', 'play rough', 'shadow ball']"
"School Kid Neil",4,ability,"Pikachu","","galvanize"
"School Kid Neil",4,moves,"Pikachu","[]","['fake out', 'grass knot', 'uproar', 'water pulse']"
"Scientist Bryce",0,ability,"Kadabra","","magic guard"
"Scientist Bryce",0,moves,"Kadabra","[]","['light screen', 'reflect', 'shock wave', 'telekinesis']"
"Scientist Bryce",1,ability,"Porygon","","normalize"
"Scientist Bryce",1,moves,"Porygon","[]","['recover', 'shock wave', 'swift', 'thunder wave']"
"Scientist Bryce",2,ability,"Ferroseed","","iron barbs"
"Scientist Bryce",2,moves,"Ferroseed","[]","['bullet seed', 'explosion', 'shock wave', 'spike cannon']"
"Scientist Bryce",3,ability,"Drifloon","","flare boost"
"Scientist Bryce",3,moves,"Drifloon","[]","['air cutter', 'flame burst', 'ominous wind', 'shock wave']"
"Scientist Caroline",0,ability,"Butterfree","","sassy"
"Scientist Caroline",0,moves,"Butterfree","[]","['air cutter', 'giga drain', 'signal beam', 'sleep powder']"
"Scientist Caroline",1,ability,"Watchog","","patient"
"Scientist Caroline",1,moves,"Watchog","[]","['dream eater', 'feint attack', 'hyper fang', 'hypnosis']"
"Scientist Caroline",2,ability,"Unown","","levitate"
"Scientist Caroline",2,moves,"Unown","[]","['healing wish', 'magical leaf', 'psychic noise', 'shadow ball']"
"Scientist Caroline",3,ability,"Audino","","poison heal"
"Scientist Caroline",3,moves,"Audino","[]","['double-edge', 'draining kiss', 'recover', 'toxic']"
"Scientist Clarke",0,ability,"Whimsicott","","sassy"
"Scientist Clarke",0,moves,"Whimsicott","[]","['acrobatics', 'dizzy punch', 'magical leaf', 'parting shot']"
"Scientist Clarke",1,ability,"Kadabra","","magic guard"
"Scientist Clarke",1,moves,"Kadabra","[]","['dazzling gleam', 'dream eater', 'hypnosis', 'mystical fire']"
"Scientist Clarke",2,ability,"Spinda","","contrary"
"Scientist Clarke",2,moves,"Spinda","[]","['dizzy punch', 'fake out', 'psybeam', 'uproar']"
"Scientist Clarke",3,ability,"Manectric","","intimidate"
"Scientist Clarke",3,moves,"Manectric","[]","['bite', 'charge', 'dig', 'discharge']"
"Scientist Jacques",0,ability,"Golduck","","determined"
"Scientist Jacques",0,moves,"Golduck","[]","['double-edge', 'fake out', 'psychic', 'wave crash']"
"Scientist Jacques",1,ability,"Reuniclus","","gooey"
"Scientist Jacques",1,moves,"Reuniclus","[]","['follow me', 'psychic', 'shadow ball', 'thunder']"
"Scientist Jacques",2,ability,"Bronzong","","heavy metal"
"Scientist Jacques",2,moves,"Bronzong","[]","['body press', 'flash cannon', 'rock slide', 'weather ball']"
"Scientist Lumi",0,ability,"Beheeyem","","inner focus"
"Scientist Lumi",0,moves,"Beheeyem","[]","['cosmic power', 'psychic', 'recover', 'thunderbolt']"
"Scientist Lumi",1,ability,"Grumpig","","magic guard"
"Scientist Lumi",1,moves,"Grumpig","[]","['crunch', 'facade', 'psycho shift', 'zen headbutt']"
"Scientist Lumi",2,ability,"Mismagius","","illusion"
"Scientist Lumi",2,moves,"Mismagius","[]","['dazzling gleam', 'hypnosis', 'shadow ball', 'thunderbolt']"
"Scientist Lumi",3,ability,"Espeon","","chlorophyll"
"Scientist Lumi",3,moves,"Espeon","[]","['psyshock', 'shadow ball', 'solar beam', 'zap cannon']"
"Scientist Lumina",0,ability,"Torkoal","","shell armor"
"Scientist Lumina",0,moves,"Torkoal","[]","['body slam', 'flame burst', 'poison gas', 'stompin tantrum']"
"Scientist Lumina",1,ability,"Munchlax","","thick fat"
