	Pokémon	Abil 1		Abil 2		Abil 3 (HA)		Abil 4 (AI Only)		Abil 5 (AI Only)		Abil 6 (AI Only)	
621	Druddigon	Battle Armor		Sheer Force		Rough Skin		Strong Body		Solid Rock		Solid Rock	
622	Golett	Weak Armor		No Guard		Well Baked Body		Sand Stream		Iron Fist		Aftermath	
623	Golurk	Weak Armor		No Guard		Well Baked Body		Sand Stream		Iron Fist		Aftermath	
624	Pawniard	Defiant		Hyper Cutter		Heavy Metal		Speed Boost		Stakeout		Stakeout	
625	Bisharp	Defiant		Hyper Cutter		Heavy Metal		Speed Boost		Stakeout		Stakeout	
626	Bouffalant	Reckless		Sap Sipper		Guts		?		?		?	
627	Rufflet	Hustle		Justified		Defiant		?		?		?	
628	Braviary	Hustle		Justified		Defiant		?		?		?	
629	Vullaby	Overcoat		Rough Skin		Pickup		Stakeout		Stakeout		Stakeout	
630	Mandibuzz	Overcoat		Rough Skin		Pickup		Stakeout		Stakeout		Stakeout	
631	Heatmor	Flash Fire		Tough Claws		White Smoke		Arena Trap		Drought		Stakeout	
632	Durant	Hustle		Swarm		Heatproof		Stakeout		Arena Trap		Heatproof	
633	Deino	Hustle		Berserk		Reckless		Moody		Moody		Moody	
634	Zweilous	Hustle		Berserk		Reckless		Moody		Moody		Moody	
635	Hydreigon	Levitate		Berserk		Reckless		Moody		Moody		Moody	
636	Larvesta	Swarm		Blaze		Flame Body		Drought		Drought		Drought	
637	Volcarona	Swarm		Blaze		Illumination		Drought		Drought		Drought	
638	Cobalion	Intimidate		Justified		Majestic Ward		Anticipation		Anticipation		Anticipation	
639	Terrakion	Justified		Justified		Majestic Ward		Anticipation		Anticipation		Anticipation	
640	Virizion	Justified		Justified		Majestic Ward		Anticipation		Anticipation		Anticipation	
647	Keldeo	Justified		Justified		Majestic Ward		Anticipation		Anticipation		Anticipation	
641	Tornadus	Prankster		Prankster		Defiant		?		?		?	
706	Tornadus-Therian	Regenerator		Regenerator		Defiant		?		?		?	
642	Thundurus	Prankster		Prankster		Defiant		?		?		?	
707	Thundurus-Therian	Volt Absorb		Volt Absorb		Defiant		?		?		?	
645	Landorus	Sand Force		Sand Force		Sheer Force		?		?		?	
708	Landorus-Therian	Intimidate		Intimidate		Defiant		?		?		?	
643	Reshiram	Turboblaze		Turboblaze		Defiant		?		?		?	
644	Zekrom	Teravolt		Teravolt		Teravolt		?		?		?	
646	Kyurem	Ice Body		Refrigerate		Permafrost		?		?		?	
704	Kyurem-Black	Ice Body		Refrigerate		Permafrost		?		?		?	
705	Kyurem-White	Ice Body		Refrigerate		Permafrost		?		?		?	
648	Meloetta	Serene Grace		Serene Grace		Serene Grace		?		?		?	
702	Meloetta-Pirouette	Serene Grace		Serene Grace		Serene Grace		?		?		?	
649	Genesect	Exploit		Exploit		Exploit		?		?		?	
